Sequence,Group,SCOP sunid
d1m1xa1,group46,69179
d1ea7a_,group192,52743
d1m1xa2,group46,69179
d1chma1,group106,53092
d1chma2,group322,55920
d1qu6a2,group139,54768
d1agre_,group56,48097
d1otga_,group148,55331
d1lvl_3,group299,55424
d1g9za_,group154,55608
d2fnba_,group79,49265
d1jaka1,group81,51445
d1f86a_,group48,49472
d1nu4a_,group283,54928
d1jaka2,group152,55545
d1h7za_,group101,49835
d1alla_,group1,46458
d1tvda_,group78,48726
d1h6ka2,group42,48371
d1h6ka1,group42,48371
d1ldjb_,group197,57850
d1chka_,group241,53955
d1phk__,group333,56112
d1i1ja_,group58,50044
d1dk8a_,group56,48097
d1ptf__,group306,55594
d1h98a_,group278,54862
d1a3k__,group105,49899
d1tns__,group14,46955
d1fi6a_,group23,47473
d1n3oa_,group105,49899
d1khda1,group27,47648
d1k07a_,group170,56281
d1dixa_,group320,55895
d1h3za_,group58,63748
d1pmaa_,group336,56235
d1orva2,group114,53474
d1mgta1,group8,46767
d1mbma_,group66,50494
d1jj2t_,group194,57716
d1dp4a_,group119,53822
d1njqa_,group192,57667
d1feha2,group130,54292
d1cb8a3,group407,74650
d1ju2a2,group131,54373
d1cb8a1,group62,48230
d1by5a_,group359,56935
d1mgqa_,group61,50182
d1f4la1,group17,47323
d1f4la3,group196,57770
d1bkf__,group134,54534
d1qhqa_,group92,49503
d1kjka_,group127,54171
d1d4oa_,group94,52467
d1an8_2,group256,54334
d1atia1,group202,52954
d1an8_1,group114,50203
d1jf8a_,group99,52788
d1nija1,group97,52540
d1kwfa_,group40,48208
d1n9da_,group27,47266
d1iqta_,group283,54928
d2sli_2,group136,50939
d12asa_,group156,55681
d2sli_1,group55,49899
d1jswa_,group75,48557
d2trxa_,group198,52833
d1i1ga2,group280,54909
d1guxb_,group35,47954
d1oaoa_,group353,56821
d1scy__,group362,57095
d1jfra_,group114,53474
d1ogad1,group78,48726
d1eaja_,group46,48726
d1regx_,group142,55064
d1gkna2,group377,57535
d1l3ka1,group283,54928
d1mb4a2,group149,55347
d1fj7a_,group283,54928
d1f7ua1,group17,47323
d1f7ua3,group144,55190
d1f7ua2,group92,52374
d1shsa_,group98,49764
d1noa__,group83,49319
d1ag9a_,group177,52218
d1exra_,group35,47473
d1ezvc3,group206,81342
d1cpo_2,group23,47571
d1de4c2,group85,52025
d1coja2,group273,54719
d1coja1,group2,46609
d1agi__,group244,54076
d2tct_1,group7,46689
d1kt1a3,group264,54534
d1qgda3,group102,52922
d1qgda2,group96,52518
d1qgda1,group96,52518
d1hj9a_,group126,50494
d1mxga1,group73,51011
d1i50k_,group146,55257
d1a4sa_,group229,53720
d1vns__,group66,48317
d1kufa_,group152,55486
d1c8da_,group208,88645
d1h4ax1,group51,49695
d1dw0a_,group6,46626
d1h4ax2,group95,49695
d1pe0a_,group90,52317
d1khba2,group405,68923
d1qr2a_,group177,52218
d1fjgl_,group62,50249
d1l6ja3,group373,57440
d1skz_2,group366,57262
d1cfb_2,group79,49265
d1psza_,group235,53807
d1fnga2,group133,54452
d1cfb_1,group79,49265
d1bjaa_,group4,46785
d1jqlb_,group97,52540
d1kqfa1,group130,50692
d1jyoa_,group202,69635
d1rnfa_,group244,54076
d1jr8a_,group14,69000
d1aym1_,group419,88633
d2nllb_,group385,57716
d1ijba_,group213,53300
d1a2za_,group107,53182
d1lc5a_,group112,53383
d1ci9a_,group346,56601
d1ka9h_,group181,52317
d1xbl__,group2,46565
d1gqaa_,group23,47175
d1abra_,group340,56371
d1kgna_,group26,47240
d1ohla_,group159,51569
d1sgt__,group126,50494
d1hxxa_,group179,56935
d1ivya_,group217,53474
d1tbge_,group44,48670
d1ct9a2,group336,56235
d1d5ga_,group112,50156
d1oe8a1,group26,47616
d1a49a3,group200,52935
d1a49a1,group132,50800
d1acf__,group312,55770
d1nkl__,group48,47862
d1yuja_,group192,57667
d1b3ua_,group42,48371
d1nekd_,group206,81343
d1o2fb_,group154,55604
d1f8ya_,group90,52309
d1irqa_,group25,47598
d1avac_,group121,50386
d1vsra_,group105,52980
d1qo8a3,group342,56425
d1he1a_,group14,47233
d1onia_,group294,55298
d1iloa_,group101,52833
d1bgva1,group82,51735
d1fl7b_,group376,57501
d1owxa_,group283,54928
d1b9oa_,group241,53955
d1jnua_,group314,55785
d1dcea3,group171,52058
d1dcea2,group50,49594
d1jmsa3,group31,81585
d1gl5a_,group108,50044
d1km3a_,group154,51366
d2arca_,group78,51215
d1rypc_,group336,56235
d1gcqc_,group58,50044
d1lwba_,group43,48619
d1ikpa3,group178,56864
d1ikpa2,group173,56399
d1d2ea2,group124,50465
d1i8na_,group184,57414
d1kt7a_,group69,50814
d1dz3a_,group176,52172
d1bdo__,group79,51230
d1ip9a_,group130,54277
d2plda_,group153,55550
d1k24a_,group179,69917
d1bdg_2,group205,53067
d1eo9b_,group91,49482
d1n62c2,group167,56176
d3gcb__,group242,54001
d1hy0a_,group75,48557
d3il8__,group245,54117
d1dosa_,group159,51569
d1lqra_,group361,57059
d1m3va1,group194,57716
d1lkka_,group153,55550
d1m3va2,group194,57716
d1j0ha1,group46,81296
d1xat__,group144,51161
d1j0ha3,group157,51445
d1j0ha2,group73,51011
d1chua1,group7,46977
d1jjea_,group337,56281
d1hs7a_,group28,47661
d1k8wa4,group142,55120
d1psda3,group286,55021
d1k8wa1,group289,55120
d1jfla2,group115,53681
d1jfla1,group115,53681
d1g8fa2,group183,52374
d1g8fa1,group424,88697
d1klo_1,group180,57196
d1klo_3,group180,57196
d1klo_2,group365,57196
d1qlab2,group130,54292
d1m3ua_,group161,51621
d1dgna_,group36,47986
d1koe__,group175,56436
d1e9ea_,group97,52540
d1k61a_,group7,46689
d1amf__,group237,53850
d1eerb2,group79,49265
d1jsma_,group100,49818
d1eerb1,group79,49265
d1jb9a1,group64,63380
d1e9ta_,group375,57492
d1qjta_,group35,47473
d1joya_,group20,47384
d1ogqa_,group171,52058
d1gy9a_,group78,51197
d1jroa4,group334,56176
d1l0la2,group397,63411
d1l0la1,group397,63411
d1ot5a2,group192,52743
d1ikop_,group49,49503
d1jroa2,group254,54292
d1exma2,group124,50465
d1qora2,group82,51735
d1hks__,group10,46785
d1g5na_,group49,47874
d1ixra1,group45,47781
d1dcqa1,group69,48403
d1h6fa_,group47,49417
d1l0ia_,group18,47336
d1m61a_,group305,55550
d1l2wi_,group202,69635
d3caoa_,group45,48695
d1rvv1_,group174,52121
d1ooea_,group82,51735
d1ejga_,group372,57429
d1lwda_,group223,53659
d1tocr1,group182,57362
d1cmza_,group56,48097
d1bkra_,group24,47576
d1guya2,group339,56327
d1iw5a_,group141,82657
d1f5va_,group302,55469
d2sas__,group23,47473
d1df7a_,group218,53597
d2gpr__,group150,51261
d1aco_1,group85,52016
d1f4pa_,group90,52218
d1diqa2,group334,56176
d5hpga_,group373,57440
d1oqek_,group189,57586
d1go3f_,group31,47819
d1knma_,group63,50370
d1exta2,group189,57586
d1id0a_,group161,55874
d1jx6a_,group119,53822
d1ayaa_,group305,55550
d2eql__,group241,53955
d1j48a_,group83,49319
d1du2a_,group2,46575
d1kcma_,group163,55961
d1nbla_,group372,57429
d1nocb_,group194,52777
d1bnda_,group187,57501
d1gx3a_,group125,54001
d1jkza_,group180,57095
d1ki0a2,group373,57440
d1smla_,group337,56281
d1lnsa3,group217,53474
d1saca_,group55,49899
d1exta3,group189,57586
d1wad__,group77,48695
d1h7ea_,group113,53448
d1nf9a_,group189,52499
d1nypa2,group194,57716
d1nypa1,group194,57716
d3pgm__,group211,53254
d1ibia2,group194,57716
d1eyla_,group121,50386
d1l9ea2,group131,54373
d1jlxa1,group63,50382
d1hdoa_,group82,51735
d1fyc__,group148,51230
d1fkna_,group128,50630
d1gkna1,group188,57535
d1pvda1,group94,52467
d1mq7a_,group152,51283
d1pvda3,group190,52518
d1pvda2,group190,52518
d1buea_,group346,56601
d1h6la_,group71,50956
d1bg1a2,group47,49417
d1bk1__,group105,49899
d1koza_,group361,57059
d1kb0a1,group3,46626
d1oala_,group84,49329
d1b35a_,group208,88633
d1ebfa2,group149,55347
d1iyga_,group42,48452
d1gyca3,group49,49503
d1mwxa1,group132,54427
d1cvza_,group242,54001
d1goia1,group74,51055
d1kf6a3,group342,56425
d1goia3,group265,54556
d1hqka_,group174,52121
d1msza_,group145,82708
d1bg2__,group191,52540
d1e4bp_,group221,53639
d1rfs__,group106,50022
d1d3va_,group193,52768
d2ae2a_,group166,51735
d1dun__,group152,51283
d1f0la1,group47,49380
d1ec7a1,group160,51604
d1euha_,group229,53720
d1f0la2,group173,56399
d1fbr_2,group381,57603
d1fbr_1,group381,57603
d1nbca_,group87,49384
d1g51a2,group146,55261
d2bpa1_,group208,88645
d1grj_1,group2,46557
d1n25a_,group97,52540
d1fo4a4,group300,55447
d1fo4a5,group329,56003
d1fo4a6,group167,56176
d1fo4a1,group43,47741
d1fo4a2,group254,54292
d1gx4a_,group216,53448
d1j09a2,group92,52374
d1izoa_,group65,48264
d1ioma_,group64,48256
d1agg__,group180,57059
d1etea_,group16,47266
d1bkza_,group105,49899
d1dro__,group131,50729
d1j18a2,group157,51445
d1c5ea_,group80,51274
d1j18a1,group90,49452
d1ldja1,group4,46785
d1rkd__,group219,53613
d1hr6b1,group397,63411
d1l7aa_,group114,53474
d1lnsa2,group52,49785
d1ogae1,group78,48726
d1i2ta_,group399,63570
d1f7la_,group168,56214
d1tis__,group317,55831
d1hl2a_,group159,51569
d1mn2__,group57,48113
d1ihja_,group60,50156
d2pii__,group281,54913
d1ibja_,group215,53383
d1dysa_,group168,51989
d1keka2,group96,52518
d1i5za2,group78,51206
d1keka3,group102,52922
d1k4us_,group108,50044
d1nzaa_,group281,54913
d1mkma2,group159,55781
d1n8ja_,group198,52833
d1qtma1,group206,53098
d1qbha_,group395,57924
d3gata_,group385,57716
d1l6ja5,group373,57440
d1l6ja4,group185,57440
d1nhp_3,group150,55424
d1nhp_2,group83,51905
d1bywa_,group314,55785
d1mkya3,group141,82653
d1hcd__,group63,50405
d1nsca_,group136,50939
d1f20a2,group182,52343
d1f20a1,group64,63380
d1fngb2,group133,54452
d1e9ya1,group151,51278
d1g5ta_,group97,52540
d1m3ka1,group121,53901
d1m3ka2,group121,53901
d1e32a2,group191,52540
d1gv3a1,group5,46609
d1dzfa2,group293,55287
d1dzfa1,group105,53036
d1gv3a2,group273,54719
d1gtea1,group1,46548
d1gtea3,group83,51905
d1g73c_,group395,57924
d1ocrf_,group196,57802
d1iyoa_,group346,56601
d1gvkb_,group126,50494
d1ed1a_,group32,47836
d1dmla1,group164,55979
d1qfja2,group182,52343
d1zmec1,group193,57701
d1mx1a_,group217,53474
d1kwma2,group279,54897
d5pal__,group35,47473
d1qnf_1,group59,48173
d2por__,group179,56935
d1ctqa_,group97,52540
d1lst__,group120,53850
d1p4xa2,group4,46785
d1p4xa1,group4,46785
d1htwa_,group97,52540
d1lghb_,group357,56918
d1cp2a_,group191,52540
d1g94a1,group138,51011
d1i0va_,group123,53933
d1tbrr2,group374,57467
d1g6ha_,group191,52540
d1tbrr1,group374,57467
d1adoa_,group159,51569
d1ng2a2,group108,50044
d2ccya_,group23,47175
d1nls__,group55,49899
d1oi2a1,group95,52490
d1arb__,group66,50494
d1tfr_1,group31,47807
d1fjsl_,group365,57196
d1fzta_,group211,53254
d1jkjb2,group332,56059
d1jfua_,group198,52833
d1n8la_,group29,47336
d1dxla3,group299,55424
d1qovl_,group415,81483
d1hcz_2,group149,51246
d1h92a_,group108,50044
d1h5oa_,group183,57392
d2f5bh1,group78,48726
d1jjwa_,group169,56235
d1mg4a_,group130,89837
d1c3pa_,group193,52768
d1ihoa_,group183,52374
d1m56d_,group207,81469
d2gdm__,group1,46458
d5nul__,group177,52218
d1kija1,group250,54211
d1c4qa_,group114,50203
d1m1qa_,group45,48695
d1ng2a1,group108,50044
d1ie9a_,group72,48508
d2mnr_1,group160,51604
d2mnr_2,group277,54826
d1fp0a1,group394,57903
d1l3ya_,group365,57196
d1hska1,group334,56176
d1oi1a1,group58,63748
d1gjta_,group8,46997
d1f3la_,group111,53335
d1kexa_,group99,49785
d2lhb__,group1,46458
d1l5ja1,group42,74778
d1d6ba_,group183,57392
d1m9sa4,group417,82057
d1vtx__,group361,57059
d1hxha_,group82,51735
d1hh5a_,group77,48695
d1lbva_,group349,56655
d1ofha_,group191,52540
d1ka8a_,group4,46785
d1gpua2,group190,52518
d1jrob1,group269,54665
d1f16a_,group356,56854
d1gt91_,group192,52743
d1ktha_,group368,57362
d1aqwa2,group101,52833
d1fhe_2,group101,52833
d1nepa_,group46,81296
d1ifwa_,group399,63570
d1nkta4,group97,52540
d1d4xg_,group158,55753
d1edqa3,group134,54556
d1edqa1,group408,81296
d1lxa__,group144,51161
d1efva2,group187,52467
d1efva1,group92,52402
d1jata_,group262,54495
d1bunb_,group368,57362
d4pgaa_,group233,53774
d1rypk_,group336,56235
d1nt2a_,group214,53335
d1eexa_,group81,51703
d1p9ag_,group171,52058
d1tpg_2,group190,57603
d1c4ra_,group55,49899
d1tpg_1,group365,57196
d1aru__,group57,48113
d1o94a2,group83,51905
d1o94a1,group155,51395
d1ea5a_,group217,53474
d1a79a1,group105,53032
d1koba_,group333,56112
d1qtwa_,group162,51658
d1g6ea_,group51,49695
d1cwva3,group86,49373
d1cwva2,group86,49373
d1cwva1,group86,49373
d1psj__,group76,48619
d1mkp__,group196,52799
d1cwva4,group86,49373
d1fc3a_,group4,46894
d1pdua_,group72,48508
d1mc2a_,group43,48619
d1puee_,group10,46785
d1fzcb1,group344,56496
d1f94a_,group181,57302
d1j71a_,group128,50630
d1ihba_,group69,48403
d1ftpa_,group133,50814
d1a77_1,group31,47807
d1hd6a_,group9,47014
d1fas__,group367,57302
d1tn3__,group343,56436
d1bmta2,group178,52242
d1jt6a1,group7,46689
d1bmta1,group27,47644
d1cgha_,group126,50494
d1dt9a1,group106,53137
d1d2za_,group36,47986
d1itua_,group81,51556
d1k8kd1,group202,69645
d1hfi__,group377,57535
d1ex9a_,group114,53474
d1seta2,group156,55681
d1gsma2,group78,48726
d1tubb2,group295,55307
d1tubb1,group188,52490
d1ezvb2,group200,63411
d1j2jb_,group7,89009
d1o0la_,group356,56854
d1g73a_,group7,46984
d1jm7b_,group391,57850
d1ueab_,group115,50242
d1h8ua_,group175,56436
d1jlna_,group196,52799
d1enwa_,group5,46942
d1fbl_1,group135,50923
d1f1ma_,group14,63515
d1h5qa_,group166,51735
d1a7ta_,group337,56281
d2alca_,group193,57701
d1i0ra_,group65,50475
d1fnc_1,group396,63380
d1d4aa_,group90,52218
d1nh8a2,group281,54913
d1h9ra2,group118,50331
d1iu4a_,group125,54001
d1h9ra1,group118,50331
d1a4ya_,group86,52047
d1g38a_,group111,53335
d1h67a_,group24,47576
d1fmk_1,group108,50044
d1m40a_,group346,56601
d1ucaa_,group320,55895
d1ii7a_,group171,56300
d1nyka_,group106,50022
d1hd1a_,group283,54928
d1dar_4,group284,54980
d1kxga_,group102,49842
d3rpba_,group93,49562
d1dar_1,group64,50447
d1dar_3,group129,54211
d1ak7__,group311,55753
d1f28a_,group317,55831
d1nj3a_,group196,90213
d1g7da_,group34,47933
d1ezva2,group200,63411
d1dmta_,group152,55486
d2bds__,group183,57392
d1a73a_,group126,54060
d1b6ra1,group79,51246
d1m4ia_,group157,55729
d1b6ra2,group93,52440
d1jzua_,group133,50814
d1owfb_,group42,47729
d1hbnc_,group142,55088
d1koha1,group86,52058
d1egaa2,group141,54814
d1koha2,group283,54928
d2glia1,group192,57667
d2glia2,group192,57667
d1jjca_,group156,55681
d1a6ja_,group315,55804
d1bev1_,group419,88633
d1f5qb2,group35,47954
d1j2oa1,group385,57716
d1j2oa2,group385,57716
d1f5qb1,group52,47954
d1thfd_,group154,51366
d1bx4a_,group219,53613
d1jqqa_,group108,50044
d1sis__,group362,57095
d1p1la_,group281,54913
d1jipa_,group65,48264
d1irha_,group368,57362
d1lwma_,group21,47095
d1pbwa_,group41,48350
d3chbd_,group114,50203
d1fl2a2,group83,51905
d1sra__,group23,47473
d1jtaa_,group143,51126
d1b7ba_,group220,53633
d1ogsa2,group81,51445
d1cnoa_,group3,46626
d1ig7a_,group7,46689
d1c7na_,group215,53383
d1ggwa_,group35,47473
d1gd6a_,group241,53955
d1ueka2,group142,55060
d1gwma_,group52,49785
d1oria_,group214,53335
d1li1a1,group175,56436
d1fr3a_,group118,50331
d1hxja_,group157,51445
d1ee8a1,group13,46946
d1agja_,group66,50494
d1dp3a_,group42,47729
d1do5a_,group84,49329
d1eg3a1,group23,47473
d1eg3a2,group23,47473
d1eg3a3,group74,51045
d1kk6a_,group144,51161
d1bik_2,group368,57362
d1bik_1,group368,57362
d1lgpa_,group104,49879
d1kqfc_,group206,81342
d1hh8a_,group42,48452
d1cyo__,group318,55856
d1ufya_,group147,55298
d1ypra_,group312,55770
d1kn0a_,group139,54768
d3frua2,group261,54452
d1i50i1,group196,57783
d1aym3_,group419,88633
d1i50i2,group196,57783
d1n0za_,group196,90209
d1kwaa_,group60,50156
d1yua_2,group196,57783
d1ql3a_,group6,46626
d1yua_1,group196,57783
d1hqz1_,group158,55753
d1fmb__,group128,50630
d1g3qa_,group97,52540
d1eiwa_,group90,52206
d1qs1a2,group341,56399
d1pch__,group306,55594
d1h97a_,group1,46458
d1iv8a1,group73,51011
d1oqdk_,group189,57586
d1kqha_,group361,57059
d1efub3,group5,46934
d1k0va_,group285,55008
d1bia_2,group107,50037
d1eu3a2,group256,54334
d1l3sa2,group176,56672
d1eu3a1,group114,50203
d1lb6a_,group94,49599
d1oaia_,group5,46934
d1hc9a_,group367,57302
d1gxma_,group40,81853
d1kl1a_,group112,53383
d1n5da_,group166,51735
d3grs_3,group150,55424
d3grs_2,group83,51905
d1a0ca_,group162,51658
d1hzda_,group172,52096
d1eut_2,group99,49785
d1i7na1,group93,52440
d1h0ha1,group67,50692
d6mhta_,group214,53335
d1j0ma2,group103,49863
d1eaf__,group98,52777
d2pia_1,group64,63380
d1ad3a_,group229,53720
d1qlpa_,group345,56574
d1qdlb_,group181,52317
d1dz1a_,group58,54160
d1ei7a_,group14,47195
d1mf7a_,group213,53300
d1k5na2,group133,54452
d1i78a_,group179,69917
d1oaca2,group132,54416
d1oaca3,group259,54416
d1blxa_,group333,56112
d1b77a1,group164,55979
d1fgua1,group62,50249
d1fgua2,group62,50249
d1oo0b_,group283,54928
d1qs1a1,group173,56399
d1ql0a_,group126,54060
d1kija2,group319,55874
d1qfha2,group408,81296
d3lzt__,group124,53955
d1gyoa_,group45,48695
d1nxja_,group85,89562
d1qrva_,group11,47095
d3seb_2,group130,54334
d1c2aa1,group180,57247
d1ccva_,group379,57567
d1qapa2,group270,54675
d1a3aa_,group315,55804
d1soxa1,group46,81296
d1ica__,group362,57095
d1gz3a1,group166,51735
d1qr0a1,group168,56214
d1qr0a2,group168,56214
d1o75a1,group46,81986
d1ntr__,group176,52172
d5mdha2,group339,56327
d1kkxa_,group9,46774
d1g1ka_,group87,49384
d1doka_,group245,54117
d1fk5a_,group30,47699
d1f5aa4,group204,81301
d1kxpd3,group74,48552
d1kxpd2,group74,48552
d1kqfb2,group207,81597
d1pvc3_,group419,88633
d2cbp__,group49,49503
d1ksia2,group132,54416
d1ksia3,group132,54416
d1o97d2,group94,52467
d1o97d1,group92,52402
d1jila_,group92,52374
d1bmlc3,group130,54328
d1ly1a_,group97,52540
d1vfra_,group302,55469
d1j0aa_,group226,53686
d1pk5a_,group72,48508
d1eska_,group195,57756
d1hqi__,group330,56029
d1j5sa_,group81,51556
d1vdra_,group218,53597
d1ewia_,group62,50249
d1laue_,group175,52141
d1g0da1,group408,81296
d1mba__,group1,46458
d1ufha_,group157,55729
d2stv__,group208,88650
d1ejea_,group65,50475
d1mnta_,group37,47598
d1quqb_,group116,50249
d1k0ma2,group101,52833
d4ubpb_,group80,51278
d1kwga3,group90,52317
d1f8ma_,group81,51621
d1ff4a_,group367,57302
d1g0da4,group242,54001
d1qava_,group112,50156
d1iq8a3,group424,88697
d1qmya_,group125,54001
d1p42a1,group129,54211
d1onfa2,group167,51905
d1bf2_3,group157,51445
d1bf2_2,group73,51011
d1bf2_1,group46,81296
d1b34a_,group113,50182
d1di2a_,group139,54768
d1nxma_,group78,51182
d1orfa_,group126,50494
d1jspb_,group32,47370
d1oi1a2,group400,63748
d1hx0a1,group73,51011
d1qh5a_,group170,56281
d1ew3a_,group133,50814
d1nvta2,group210,53223
d1eu8a_,group237,53850
d1eika_,group293,55287
d2gmfa_,group16,47266
d1ggla_,group133,50814
d1cuk_2,group31,47781
d1gvha3,group182,52343
d1gvha1,group1,46458
d1b8pa1,group82,51735
d1g72b_,group44,48666
d2mcm__,group83,49319
d1m4ja_,group158,55753
d1hm6a_,group49,47874
d1hzma_,group197,52821
d1gs5a_,group220,53633
d1b3ta_,group142,54957
d1azwa_,group114,53474
d1loka_,group107,53187
d1hlra1,group43,47741
d1a5t_2,group97,52540
d1hlra3,group269,54665
d1hlra2,group254,54292
d1fexa_,group7,46689
d1n7oa3,group56,74650
d1cewi_,group132,54403
d1g2ba_,group58,50044
d1qn2a_,group6,46626
d7aata_,group215,53383
d1nzya_,group172,52096
d1tig__,group145,55200
d1muma_,group161,51621
d1d7qa_,group116,50249
d1pgja1,group60,48179
d1gwea_,group347,56634
d1kpsb_,group42,69099
d1a8h_2,group183,52374
d1odma_,group78,51197
d1ecsa_,group135,54593
d1f62a_,group394,57903
d1bl0a2,group7,46689
d1ji2a1,group408,81296
d1ji2a2,group138,51011
d1pkla1,group132,50800
d1o0sa2,group108,53223
d1o0sa1,group82,51735
d1jjcb5,group309,55681
d1jlva1,group26,47616
d1bea__,group30,47699
d1jjcb2,group6,46955
d2u1a__,group283,54928
d1hjra_,group106,53098
d1rb9__,group196,57802
d1bqv__,group44,47769
d1ghk__,group148,51230
d1mzja2,group238,53901
d1mzja1,group238,53901
d1gu6a_,group77,48695
d1ocxa_,group77,51161
d1o04a_,group229,53720
d1igna1,group4,46689
d1d1da1,group18,47353
d153l__,group124,53955
d1opka2,group305,55550
d1au1a_,group27,47266
d1jd1a_,group294,55298
d1cnza_,group223,53659
d1k7ba_,group371,57424
d1ddja_,group126,50494
d1li4a1,group82,51735
d1f53a_,group51,49695
d1jk7a_,group171,56300
d1e29a_,group3,46626
d1m9fc_,group51,47943
d1d0da_,group182,57362
d1kb2a_,group385,57716
d1hdia_,group231,53748
d1mwza_,group285,55008
d1zpda1,group94,52467
d1qba_4,group152,55545
d1zpda3,group190,52518
d1zpda2,group96,52518
d1gpua3,group199,52922
d1pkp_2,group139,54768
d2hcc__,group245,54117
d1vrta2,group350,56672
d1jj2y_,group196,57829
d1eeja2,group132,54423
d1eeja1,group101,52833
d1np3a1,group39,48179
d1kbea_,group199,57889
d1php__,group231,53748
d1dcpa_,group146,55248
d1n3ja_,group80,82199
d1g43a_,group47,49384
d1gmea_,group98,49764
d1i5hw_,group139,51045
d1jdqa_,group401,64307
d1jova_,group56,74650
d1gkla_,group114,53474
d1yrga_,group170,52047
d1pls__,group131,50729
d1fh0a_,group242,54001
d1qc5a_,group213,53300
d1jo0a_,group145,75471
d1e8ga1,group142,55103
d1fxza2,group145,51182
d1jm7a_,group391,57850
d1h21a_,group45,48695
d1paa__,group192,57667
d1jixa_,group232,53756
d1a26_2,group173,56399
d1ctj__,group3,46626
d1jtdb_,group72,50985
d1lnqa2,group411,81324
d1vpsa_,group208,88648
d1ejfa_,group98,49764
d1e42a1,group46,49348
d1bqua1,group79,49265
d1plq_1,group328,55979
d1plq_2,group328,55979
d1k9vf_,group181,52317
d1mfa_2,group78,48726
d1ek1a2,group217,53474
d1hlqa_,group382,57652
d1ebda2,group167,51905
d1ebda3,group299,55424
d3eipa_,group134,54552
d1fd3a_,group183,57392
d1hyrc2,group261,54452
d1fm0d_,group130,54285
d1emo_1,group365,57196
d1cx1a_,group99,49785
d1hyua3,group198,52833
d1guia_,group52,49785
d1cxya_,group318,55856
d1nhkl_,group282,54919
d1gnf__,group385,57716
d1j7qa_,group23,47473
d1jj22_,group196,57829
d1k2pa_,group333,56112
d1dceb_,group63,48239
d1qhva_,group101,49835
d1f60a3,group97,52540
d1ocrc_,group413,81452
d1cpq__,group23,47175
d1l6ha_,group30,47699
d1wapa_,group78,51219
d1llda2,group339,56327
d1kepa_,group166,51735
d1nnsa_,group233,53774
d1axda1,group38,47616
d1plc__,group49,49503
d1j2qh_,group336,56235
d1h9ma1,group118,50331
d1h9ma2,group118,50331
d1fuea_,group90,52218
d1o6za2,group339,56327
d1dfsa_,group198,57868
d1io0a_,group86,52047
d2viua_,group100,49818
d1g8ka1,group67,50692
d1f8ea_,group71,50939
d1gh7a2,group79,49265
d1gh7a1,group79,49265
d1kqwa_,group133,50814
d1eb6a_,group152,55486
d1fs1b2,group138,54695
d1phr__,group195,52788
d1lqpa_,group135,54593
d1m2ka_,group94,52467
d1lswa_,group314,55785
d1e4ua_,group197,57850
d1az9_2,group322,55920
d1ogha_,group80,51283
d1eut_1,group408,81296
d1eit__,group361,57059
d1fp3a_,group40,48208
d1dec__,group366,57262
d1ed8a_,group222,53649
d1jj7a_,group191,52540
d1m4oa_,group78,51182
d1o4sa_,group215,53383
d1llp__,group57,48113
d1p8ja2,group192,52743
d3prn__,group359,56935
d1cqqa_,group66,50494
d1iooa_,group320,55895
d1kfta_,group31,47781
d1gtza_,group180,52304
d2hhma_,group349,56655
d1d4m1_,group419,88633
d1d02a_,group105,52980
d1pht__,group58,50044
d1e7ka_,group296,55315
d1eucb2,group166,56059
d1gdea_,group215,53383
d1afb11,group175,56436
d1b5ea_,group317,55831
d1g96a_,group258,54403
d1jqga1,group209,53187
d1nwaa_,group142,55068
d1jqga2,group279,54897
d1jaja_,group204,81301
d1rlf__,group251,54236
d1bo9a_,group49,47874
d1a8p_1,group64,63380
d1a8p_2,group182,52343
d1g8la1,group80,63867
d1c01a_,group51,49695
d1mpza_,group378,57552
d1bm9a_,group4,46785
d1gps__,group180,57095
d1p4wa_,group11,46894
d1d2na_,group191,52540
d1jzna_,group343,56436
d1or7a2,group425,88946
d1bn8a_,group143,51126
d1myo__,group69,48403
d1sfe_1,group8,46767
d1d5va_,group4,46785
d1iyma_,group391,57850
d1ihga1,group42,48452
d1f60a2,group124,50465
d1f60a1,group64,50447
d1mut__,group316,55811
d1i50f_,group293,55287
d1hx1b_,group7,63491
d1lqva_,group261,54452
d1f1ca_,group6,46626
d2ay1a_,group215,53383
d1ltoa_,group126,50494
d1e3oc2,group21,47413
d1eo9a_,group91,49482
d1e3oc1,group7,46689
d1a81a2,group305,55550
d1a81a1,group305,55550
d1pf4a1,group191,52540
d1fmca_,group166,51735
d1gyta2,group209,53187
d1fhoa_,group68,50729
d1b72b_,group7,46689
d1e17a_,group10,46785
d1fx2a_,group142,55073
d1hpwa_,group263,54523
d1m0ua1,group38,47616
d2fcr__,group177,52218
d1ln1a_,group163,55961
d1l0lb2,group397,63411
d1l0lb1,group397,63411
d1dgua_,group35,47473
d1otfa_,group148,55331
d1gkda_,group303,55486
d1jqia2,group348,56645
d1jqia1,group19,47203
d1qmha1,group101,52913
d1gk8i_,group292,55239
d3lada2,group167,51905
d3lada3,group299,55424
d1cc8a_,group285,55008
d1eexg_,group13,47148
d1owta_,group209,89811
d1lyva_,group100,52799
d3tss_2,group130,54334
d1qk6a_,group361,57059
d1g31a_,group59,50129
d1g6xa_,group182,57362
d1d4ba_,group130,54277
d1kcfa1,group201,68906
d1nuna_,group119,50353
d1qhoa3,group73,51011
d1qhoa2,group48,49452
d1kwga2,group81,51445
d1qhoa4,group157,51445
d1kwga1,group73,51011
d1ezvd2,group207,81496
d1gefa_,group105,52980
d1cd1a2,group261,54452
